year,make,model,trim,days_to_sell
2012,Audi,A1,Attraction,28
2012,Audi,A6,"35 FSI quattro",38
2012,Audi,A6,"35 FSI quattro",87
2012,Audi,A6,"35 FSI quattro",103
2012,Audi,A6,TFSI,46
2012,Audi,A8,"TFSI quattro",12
2012,Audi,A8,"TFSI quattro",24
2012,Audi,A8,"TFSI quattro",28
2012,Audi,A8,"TFSI quattro",33
2012,Audi,A8,"TFSI quattro",45
2012,Audi,A8,"TFSI quattro",47
2012,Audi,A8,"TFSI quattro",82
2012,Audi,A8,"TFSI quattro",84
2012,Audi,A8,"TFSI quattro",111
2012,Audi,Q5,"FSI quattro S-Line",43
2012,Audi,Q5,"FSI quattro S-Line",53
2012,Audi,Q5,"FSI quattro S-Line",90
2012,Audi,Q5,"FSI quattro S-Line",100
2012,Audi,Q7,"TFSI quattro",44
2012,Audi,Q7,"TFSI quattro",90
2012,Audi,Q7,"TFSI quattro S-Line",9
2012,Audi,Q7,"TFSI quattro S-Line",16
2012,Audi,Q7,"TFSI quattro S-Line",19
2012,Audi,Q7,"TFSI quattro S-Line",27
2012,Audi,Q7,"TFSI quattro S-Line",30
2012,Audi,Q7,"TFSI quattro S-Line",86
2012,Audi,Q7,"TFSI quattro S-Line",90
2012,Audi,Q7,"TFSI quattro S-Line",112
2012,Audi,R8,GT,47
2012,Audi,TT,"TFSI quattro",36
2012,Bentley,Mulsanne,Std,140
2012,BMW,730Li,Executive,30
2012,BMW,730Li,Executive,45
2012,BMW,730Li,Executive,60
2012,BMW,X5,"xDrive 50i",95
2012,BMW,Z4,"sDrive 35i",34
2012,Cadillac,Escalade,Std,37
2012,Chevrolet,Camaro,LT,65
2012,Chevrolet,Camaro,SS,90
2012,Chevrolet,Camaro,SS,113
2012,Chevrolet,Caprice,LS,9
2012,Chevrolet,Caprice,LS,35
2012,Chevrolet,Captiva,LT,21
2012,Chevrolet,Captiva,LT,47
2012,Chevrolet,Captiva,LT,103
2012,Chevrolet,Captiva,LTZ,33
2012,Chevrolet,Cruze,LS,8
2012,Chevrolet,Cruze,LS,9
2012,Chevrolet,Cruze,LS,13
2012,Chevrolet,Cruze,LS,16
2012,Chevrolet,Cruze,LS,17
2012,Chevrolet,Cruze,LS,18
2012,Chevrolet,Cruze,LS,19
2012,Chevrolet,Cruze,LS,22
2012,Chevrolet,Cruze,LS,27
2012,Chevrolet,Cruze,LS,28
2012,Chevrolet,Cruze,LS,38
2012,Chevrolet,Cruze,LS,39
2012,Chevrolet,Cruze,LS,57
2012,Chevrolet,Cruze,LS,59
2012,Chevrolet,Cruze,LS,99
2012,Chevrolet,Cruze,LS,115
2012,Chevrolet,Cruze,LS,172
2012,Chevrolet,Cruze,LT,105
2012,Chevrolet,Cruze,LT,115
2012,Chevrolet,Malibu,LT,61
2012,Chevrolet,Tahoe,LS,18
2012,Chevrolet,Tahoe,LS,39
2012,Chevrolet,Tahoe,LS,90
2012,Chevrolet,Tahoe,LT,95
2012,Chevrolet,Tahoe,LTZ,25
2012,Chevrolet,Tahoe,LTZ,90
2012,Chevrolet,Traverse,LT,60
2012,Chevrolet,Traverse,LT,112
2012,Chevrolet,Traverse,LT,114
2012,Dodge,Challenger,SRT8,12
2012,Dodge,Charger,R/T,8
2012,Dodge,Charger,R/T,11
2012,Dodge,Charger,R/T,27
2012,Dodge,Charger,R/T,47
2012,Dodge,Charger,R/T,48
2012,Dodge,Charger,R/T,75
2012,Dodge,Charger,R/T,80
2012,Dodge,Charger,R/T,101
2012,Dodge,Charger,R/T,154
2012,Dodge,Charger,SRT8,47
2012,Dodge,Charger,SRT8,104
2012,Dodge,Durango,"Crew Plus",42
2012,Ford,Escape,S,103
2012,Ford,Explorer,Limited,50
2012,Ford,Explorer,XLT,47
2012,Ford,Fiesta,Ambiente,34
2012,Ford,Fiesta,Ambiente,65
2012,GMC,Acadia,Denali,9
2012,GMC,Acadia,Denali,11
2012,GMC,Acadia,Denali,20
2012,GMC,Acadia,Denali,26
2012,GMC,Acadia,Denali,30
2012,GMC,Acadia,Denali,36
2012,GMC,Acadia,Denali,90
2012,GMC,Acadia,Denali,196
2012,GMC,Yukon,Denali,20
2012,GMC,Yukon,Denali,23
2012,GMC,Yukon,Denali,75
2012,GMC,Yukon,Denali,84
2012,GMC,Yukon,Denali,90
2012,Honda,Accord,EX,13
2012,Honda,Accord,EX,47
2012,Honda,Accord,EX,75
2012,Honda,Accord,EX,90
2012,Honda,Accord,EX,112
2012,Honda,Accord,EXI,64
2012,Honda,Accord,"LX LTD",11
2012,Honda,Accord,"LX LTD",25
2012,Honda,Accord,"LX LTD",27
2012,Honda,Accord,"LX LTD",32
2012,Honda,Accord,"LX LTD",36
2012,Honda,Accord,"LX LTD",76
2012,Honda,Accord,"LX LTD",102
2012,Honda,Accord,"LX LTD",107
2012,Honda,Accord,LXI,8
2012,Honda,Accord,LXI,9
2012,Honda,Accord,LXI,11
2012,Honda,Accord,LXI,13
2012,Honda,Accord,LXI,14
2012,Honda,Accord,LXI,17
2012,Honda,Accord,LXI,30
2012,Honda,Accord,LXI,32
2012,Honda,Accord,LXI,37
2012,Honda,Accord,LXI,47
2012,Honda,Accord,LXI,61
2012,Honda,Accord,LXI,72
2012,Honda,Accord,LXI,90
2012,Honda,Accord,LXI,100
2012,Honda,Accord,LXI,110
2012,Honda,City,EX,22
2012,Honda,City,LX,15
2012,Honda,City,LX,43
2012,Honda,Civic,EXi,17
2012,Honda,Civic,EXi,50
2012,Honda,Civic,EXi,71
2012,Honda,Civic,LXi,39
2012,Honda,Civic,LXi,95
2012,Honda,Civic,VTi,23
2012,Honda,Civic,VTi,47
2012,Honda,Civic,VTi,57
2012,Honda,Civic,VTi,64
2012,Honda,Civic,VTi,87
2012,Honda,Civic,VTi,111
2012,Honda,"CR V",EX,9
2012,Honda,"CR V",EX,12
2012,Honda,"CR V",EX,17
2012,Honda,"CR V",EX,22
2012,Honda,"CR V",EX,29
2012,Honda,"CR V",EX,30
2012,Honda,"CR V",EX,105
2012,Honda,Pilot,EX,104
2012,Hyundai,Accent,GL,26
2012,Hyundai,Accent,GL,27
2012,Hyundai,Accent,GL,45
2012,Hyundai,Accent,GL,70
2012,Hyundai,Accent,GL,74
2012,Hyundai,Accent,GL,94
2012,Hyundai,Accent,GL,95
2012,Hyundai,Accent,GL,98
2012,Hyundai,Accent,GL,99
2012,Hyundai,Accent,GL,102
2012,Hyundai,Accent,GL,103
2012,Hyundai,Accent,GL,107
2012,Hyundai,Accent,GL,108
2012,Hyundai,Accent,GL,109
2012,Hyundai,Accent,GL,110
2012,Hyundai,Accent,GL,112
2012,Hyundai,Accent,GL,115
2012,Hyundai,Accent,GL,116
2012,Hyundai,Accent,GL,154
2012,Hyundai,Accent,GLS,8
2012,Hyundai,Accent,GLS,50
2012,Hyundai,Accent,GLS,112
2012,Hyundai,"Santa Fe",GL,11
2012,Hyundai,"Santa Fe",GLS,20
2012,Hyundai,"Santa Fe",GLS,55
2012,Hyundai,"Santa Fe",GLS,95
2012,Hyundai,"Santa Fe",GLS,114
2012,Hyundai,Sonata,GL,100
2012,Hyundai,Sonata,GLS,13
2012,Hyundai,Sonata,GLS,17
2012,Hyundai,Sonata,GLS,19
2012,Hyundai,Sonata,GLS,21
2012,Hyundai,Sonata,Limited,37
2012,Hyundai,Sonata,Limited,47
2012,Hyundai,Sonata,Limited,66
2012,Hyundai,Tucson,GL,48
2012,Hyundai,Tucson,GL,95
2012,Hyundai,Tucson,GL,99
2012,Hyundai,Tucson,GL,103
2012,Hyundai,Tucson,GL,110
2012,Hyundai,Tucson,GLS,36
2012,Hyundai,Tucson,GLS,103
2012,Infiniti,FX35,Std,47
2012,Infiniti,FX35,Std,116
2012,Jeep,Cherokee,sport,95
2012,Jeep,Cherokee,sport,112
2012,Jeep,Cherokee,sport,114
2012,Jeep,Compass,Limited,43
2012,Jeep,Compass,Limited,47
2012,Jeep,Compass,Limited,109
2012,Jeep,Compass,Limited,121
2012,Jeep,"Grand Cherokee",Laredo,14
2012,Jeep,"Grand Cherokee",Laredo,48
2012,Jeep,"Grand Cherokee",Limited,11
2012,Jeep,"Grand Cherokee",Limited,12
2012,Jeep,"Grand Cherokee",Limited,17
2012,Jeep,"Grand Cherokee",Limited,19
2012,Jeep,"Grand Cherokee",Limited,26
2012,Jeep,"Grand Cherokee",Limited,28
2012,Jeep,"Grand Cherokee",Limited,77
2012,Jeep,"Grand Cherokee",Limited,106
2012,Jeep,"Grand Cherokee",Overland,16
2012,Jeep,"Grand Cherokee",Overland,17
2012,Jeep,"Grand Cherokee",Overland,26
2012,Jeep,"Grand Cherokee",Overland,68
2012,Jeep,"Grand Cherokee",SRT8,8
2012,Jeep,"Grand Cherokee",SRT8,21
2012,Jeep,"Grand Cherokee",SRT8,24
2012,Jeep,"Grand Cherokee",SRT8,95
2012,Jeep,"Grand Cherokee",SRT8,101
2012,Jeep,"Grand Cherokee",SRT8,106
2012,Jeep,"Grand Cherokee",SRT8,107
2012,Jeep,"Grand Cherokee",SRT8,113
2012,Jeep,"Grand Cherokee",SRT8,140
2012,Jeep,Wrangler,Sahara,34
2012,Jeep,Wrangler,Sport,70
2012,Jeep,Wrangler,Sport,107
2012,Jeep,Wrangler,Sport,108
2012,Jeep,Wrangler,"Unlimited Sahara",9
2012,Kia,"Cerato Koup",SX,95
2012,Kia,Soul,ex,47
2012,Kia,Soul,ex,108
2012,"Land Rover",LR2,HSE,8
