year,make,model,trim,mileage,days_to_sell
2012,Audi,A1,Attraction,109000,28
2012,Audi,A6,"35 FSI quattro",124000,87
2012,Audi,A6,"35 FSI quattro",171000,38
2012,Audi,A6,"35 FSI quattro",171000,103
2012,Audi,A6,TFSI,95000,46
2012,Audi,A8,"TFSI quattro",19200,111
2012,Audi,A8,"TFSI quattro",92000,33
2012,Audi,A8,"TFSI quattro",98900,47
2012,Audi,A8,"TFSI quattro",99890,24
2012,Audi,A8,"TFSI quattro",106000,28
2012,Audi,A8,"TFSI quattro",180000,84
2012,Audi,A8,"TFSI quattro",183000,82
2012,Audi,A8,"TFSI quattro",188000,12
2012,Audi,A8,"TFSI quattro",221000,45
2012,Audi,Q5,"FSI quattro S-Line",125680,90
2012,Audi,Q5,"FSI quattro S-Line",139611,53
2012,Audi,Q5,"FSI quattro S-Line",142141,43
2012,Audi,Q5,"FSI quattro S-Line",210000,100
2012,Audi,Q7,"TFSI quattro",145000,90
2012,Audi,Q7,"TFSI quattro",145469,44
2012,Audi,Q7,"TFSI quattro S-Line",86500,90
2012,Audi,Q7,"TFSI quattro S-Line",123000,27
2012,Audi,Q7,"TFSI quattro S-Line",130000,16
2012,Audi,Q7,"TFSI quattro S-Line",139000,86
2012,Audi,Q7,"TFSI quattro S-Line",167000,30
2012,Audi,Q7,"TFSI quattro S-Line",180000,9
2012,Audi,Q7,"TFSI quattro S-Line",180000,19
2012,Audi,Q7,"TFSI quattro S-Line",201000,112
2012,Audi,Q7,"TFSI quattro S-Line",210000,9
2012,Audi,R8,GT,28000,47
2012,Audi,TT,"TFSI quattro",107193,36
2012,Bentley,Mulsanne,Std,24000,140
2012,BMW,730Li,Executive,134000,60
2012,BMW,730Li,Executive,135000,30
2012,BMW,730Li,Executive,137000,45
2012,BMW,X5,"xDrive 50i",100000,95
2012,BMW,Z4,"sDrive 35i",175000,34
2012,Cadillac,Escalade,Std,120000,37
2012,Chevrolet,Camaro,LT,82000,65
2012,Chevrolet,Camaro,SS,54800,90
2012,Chevrolet,Camaro,SS,176000,113
2012,Chevrolet,Caprice,LS,130000,9
2012,Chevrolet,Caprice,LS,250000,35
2012,Chevrolet,Captiva,LT,159000,21
2012,Chevrolet,Captiva,LT,170000,103
2012,Chevrolet,Captiva,LT,274000,47
2012,Chevrolet,Captiva,LTZ,137000,33
2012,Chevrolet,Cruze,LS,57000,38
2012,Chevrolet,Cruze,LS,108000,57
2012,Chevrolet,Cruze,LS,117000,17
2012,Chevrolet,Cruze,LS,117000,172
2012,Chevrolet,Cruze,LS,123000,19
2012,Chevrolet,Cruze,LS,135000,17
2012,Chevrolet,Cruze,LS,141000,9
2012,Chevrolet,Cruze,LS,145000,13
2012,Chevrolet,Cruze,LS,160000,39
2012,Chevrolet,Cruze,LS,166000,59
2012,Chevrolet,Cruze,LS,168000,8
2012,Chevrolet,Cruze,LS,168240,115
2012,Chevrolet,Cruze,LS,179000,18
2012,Chevrolet,Cruze,LS,182300,28
2012,Chevrolet,Cruze,LS,189000,99
2012,Chevrolet,Cruze,LS,189300,27
2012,Chevrolet,Cruze,LS,201700,22
2012,Chevrolet,Cruze,LS,260000,16
2012,Chevrolet,Cruze,LT,54000,115
2012,Chevrolet,Cruze,LT,190000,105
2012,Chevrolet,Malibu,LT,275000,61
2012,Chevrolet,Tahoe,LS,174225,39
2012,Chevrolet,Tahoe,LS,176000,90
2012,Chevrolet,Tahoe,LS,214000,90
2012,Chevrolet,Tahoe,LS,247000,18
2012,Chevrolet,Tahoe,LT,209000,95
